param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
cleaned_invariant,0.6213381555153706,0.6338277919863597,0.6473960821786909,1.0,1.0,1.0,0.8170936716134035,0.1830610332966531,1253,0.7,0.717391304347826,0.7391304347826086,1.0,1.0,1.0,0.8594202898550725,0.14103467392119265,1133,LogisticRegression_PCA
cleaned_invariant,0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046,LogisticRegression_PCA
cleaned_invariant,0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046,LogisticRegression_PCA
cleaned_invariant,0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046,LogisticRegression_PCA
cleaned_invariant+speed,0.5435737491877842,0.6733254994124559,0.588628762541806,1.0,0.9743589743589742,1.0,0.7966478309168368,0.198667343795041,1259,0.66,0.7391304347826086,0.6956521739130435,1.0,0.95,1.0,0.8407971014492753,0.14531984944646137,1239,LogisticRegression_PCA
cleaned_invariant+speed,0.656037296037296,0.6338277919863597,0.6473960821786909,1.0,1.0,1.0,0.8228768617003911,0.1772410382197276,1249,0.72,0.717391304347826,0.7391304347826086,1.0,1.0,1.0,0.8627536231884058,0.13741736742946847,1113,LogisticRegression_PCA
cleaned_invariant+speed,0.5840000000000001,0.7433574879227053,0.7289759725400459,1.0,1.0,1.0,0.8427222434104585,0.1653066071269405,1217,0.68,0.782608695652174,0.782608695652174,1.0,1.0,1.0,0.8742028985507245,0.1303639098919269,1046,LogisticRegression_PCA
cleaned_invariant+speed,0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046,LogisticRegression_PCA
cleaned_invariant+speed,0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046,LogisticRegression_PCA
basic,0.5840000000000001,0.7433574879227053,0.7282843798000063,1.0,0.9743589743589742,1.0,0.8383334736802811,0.1615507273625578,1228,0.68,0.782608695652174,0.7608695652173914,1.0,0.95,1.0,0.8622463768115942,0.12615201136999285,1118,LogisticRegression_PCA
